rank,county,parcel_id,item_id,address,city,buildability_gate,title_lien_tier,requires_attorney_review,recorder_search_url,ucc_search_url,rtc_3712_reference_url,title_report_ordered,recorder_chain_checked,ucc_checked,irs_lien_checked,special_assessment_checked,occupancy_verified,attorney_review_complete
11,San Diego,2912420800,210,MANZANITA DR JULIAN CA,Julian,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
12,San Diego,4510722100,304,BUSH ST SAN DIEGO CA,San Diego,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
13,San Diego,6661300700,460,SAN YSIDRO CA,San Ysidro,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
14,San Diego,6661300900,462,SAN YSIDRO CA,San Ysidro,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
15,San Diego,6661300600,459,SAN YSIDRO CA,San Ysidro,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
16,San Diego,6661300400,457,SAN YSIDRO CA,San Ysidro,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
17,San Diego,2176500400,124,695 CASITA LN SAN MARCOS CA 92069-8319,San Marcos,REVIEW,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
18,San Diego,6661300500,458,SAN YSIDRO CA,San Ysidro,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
19,San Diego,6091724800,429,TIERRA HEIGHTS RD BOULEVARD CA 91905,Boulevard,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
20,San Diego,3210805100,245,VALI HAI RD POWAY CA 92064,Poway,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
21,San Diego,2381522600,141,S ESCONDIDO BLVD,Escondido,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
22,San Diego,5221604300,345,FOREST PARK RD JAMUL CA 91935,Jamul,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
23,San Diego,1262306900,43,S MISSION RD,Bonsall,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
24,San Diego,1882232400,91,MACTAN RD VALLEY CENTER CA 92082,Valley Center,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
25,San Diego,1882232200,89,MACTAN RD VALLEY CENTER CA 92082,Valley Center,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
26,San Diego,1882232100,88,MACTAN RD VALLEY CENTER CA 92082,Valley Center,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
27,San Diego,4510722200,305,BUSH ST SAN DIEGO CA,San Diego,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
28,San Diego,6520601100,452,HIGHWAY 94 POTRERO CA 91963,Potrero,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
29,San Diego,3991601200,275,SILVERBROOK DR EL CAJON CA 92019-1494,El Cajon,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
30,San Diego,3993802300,276,147 HARBISON CANYON RD EL CAJON CA 92019-1520,El Cajon,REVIEW,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
31,San Diego,2952540900,224,LAST DOLLAR TRL JULIAN CA 92036,Julian,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
32,San Diego,2121920100,120,CARLSBAD CA,Carlsbad,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
33,San Diego,1882232300,90,29348 MACTAN RD VALLEY CENTER CA 92082-7611,Valley Center,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
34,San Diego,6661300800,461,SAN YSIDRO CA,San Ysidro,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
35,San Diego,1980932100,99,BORREGO SPRINGS RD BORREGO SPRINGS CA 92004,Borrego Springs,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
36,San Diego,1980932000,98,BORREGO SPRINGS RD BORREGO SPRINGS CA 92004,Borrego Springs,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
37,San Diego,4303002000,295,JULY ST SAN DIEGO CA 92110,San Diego,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
38,San Diego,2931220400,217,MILE HI RD JULIAN CA,Julian,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
39,San Diego,2930931600,212,MILE HIGH RD JULIAN CA,Julian,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
40,San Diego,2931142400,215,TWIN OAKS JULIAN CA 92036,Julian,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
41,Riverside,922043023,966,28690 FRONT ST TEMECULA 92590,Front St Temecula,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
42,Riverside,922043004,961,41956 3RD ST TEMECULA 92590,St Temecula,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
43,Riverside,922043024,967,28690 FRONT ST TEMECULA 92590,Front St Temecula,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
44,Riverside,922043002,959,41934 3RD ST TEMECULA 92590,St Temecula,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
45,Riverside,922043025,968,28696 FRONT ST TEMECULA 92590,Front St Temecula,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
46,Riverside,274240021,59,17388 MARIPOSA AVE RIVERSIDE 92504,Mariposa Ave Riverside,REVIEW,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
47,San Diego,1980932200,100,FRYING PAN RD BORREGO SPRINGS CA 92004,Borrego Springs,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
48,Riverside,243540001,38,585 PITCAIRN ST RIVERSIDE 92506,Pitcairn St Riverside,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
49,San Diego,1991400200,111,DI GIORGIO RD BORREGO SPRINGS CA 92004,Borrego Springs,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
50,Riverside,297230031,74,14600 INNOVATION DR RIVERSIDE 92518,Innovation Dr Riverside,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
51,Riverside,639272015,676,66700 5TH ST DESERT HOT SPRINGS 92240,St Desert Hot Springs,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
52,Riverside,936300014,974,46366 SANDIA CREEK DR TEMECULA 92590,Sandia Creek Dr Temecula,REVIEW,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
53,Riverside,639272008,674,66634 5TH ST DESERT HOT SPRINGS 92240,St Desert Hot Springs,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
54,Riverside,639272013,675,66659 6TH ST DESERT HOT SPRINGS 92240,St Desert Hot Springs,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
55,Riverside,640041016,678,72650 FRED WARING DR PALM DESERT 92260,Fred Waring Dr Palm Desert,REVIEW,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
56,Riverside,413681016,406,34954 STADLER ST BEAUMONT 92223,Stadler St Beaumont,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
57,Riverside,465190054,470,33711 PATTON AVE WINCHESTER 92596,Patton Ave Winchester,REVIEW,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
58,Riverside,159221005,16,5150 ETIWANDA AVE MIRA LOMA 91752,Etiwanda Ave Mira Loma,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
59,Riverside,363361032,197,13 PLAZA AVILA LAKE ELSINORE 92532,Plaza Avila Lake Elsinore,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
60,San Diego,1982620400,106,BORREGO SPRINGS CA,Borrego Springs,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
61,San Diego,2931140400,214,MILE HI RD JULIAN CA 92036,Julian,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
62,Riverside,459101013,461,31146 FRETWELL AVE HOMELAND 92548,Fretwell Ave Homeland,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
63,Riverside,186132011,27,6450 HOLLYRIDGE DR RIVERSIDE 92504,Hollyridge Dr Riverside,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
64,Riverside,807660041,903,NONE,Desert Center,REVIEW,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
65,Riverside,848100004,921,NONE,Blythe,REVIEW,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
66,Riverside,848100005,922,NONE,Blythe,REVIEW,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
67,Riverside,842070006,914,NONE,Blythe,REVIEW,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
68,Riverside,663081043,766,64220 THOMAS RD DESERT HOT SPRINGS 92240,Thomas Rd Desert Hot Springs,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
69,San Diego,2931220700,219,MILE HI RD JULIAN CA,Julian,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
70,San Diego,2931220600,218,MILE HI RD JULIAN CA,Julian,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
71,Riverside,350222047,151,23550 SHREEDER PL CANYON LAKE 92587,Shreeder Pl Canyon Lake,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
72,Riverside,872241042,938,24191 PALOMAS AVE RIPLEY 92272,Palomas Ave Ripley,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
73,Riverside,552291010,586,43701 PIONEER AVE HEMET 92544,Pioneer Ave Hemet,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
74,Riverside,456272006,454,1710 SAN SIMEON DR HEMET 92545,San Simeon Dr Hemet,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
75,Riverside,347420031,136,28160 WELLS FARGO DR LAKE ELSINORE 92532,Wells Fargo Dr Lake Elsinore,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
76,Riverside,922044017,969,NONE,Temecula,REVIEW,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
77,Riverside,922043018,965,NONE,Temecula,REVIEW,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
78,Riverside,922043015,963,NONE,Temecula,REVIEW,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
79,Riverside,922044020,970,NONE,Temecula,REVIEW,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
80,Riverside,922043003,960,NONE,Temecula,REVIEW,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
81,Riverside,697330002,848,NONE,Coachella,REVIEW,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
82,Riverside,528031013,544,15047 SUNRISE AVE CABAZON 92230,Sunrise Ave Cabazon,PASS,medium,False,https://webselfservice.riversideacr.com/Web/action/ACTIONGROUP2111S1,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
